name,number,old_price,sale_price,url
Beaded Camisole Top,47468,$17.99,$7.99,http://www.hm.com/us/product/47468?article=47468-E
V-neck Top,69690,$17.99,$7.99,http://www.hm.com/us/product/69690?article=69690-A
V-neck Top,69690,$17.99,$7.99,http://www.hm.com/us/product/69690?article=69690-B
Draped Top,61712,$19.99,$9.99,http://www.hm.com/us/product/61712?article=61712-B
Long-sleeved Jersey Top,64062,$24.99,$19.99,http://www.hm.com/us/product/64062?article=64062-A
Long-sleeved Top,56522,$24.99,$14.99,http://www.hm.com/us/product/56522?article=56522-E
Long-sleeved Top,56522,$24.99,$12.99,http://www.hm.com/us/product/56522?article=56522-C
Long-sleeved Top,56522,$24.99,$14.99,http://www.hm.com/us/product/56522?article=56522-F
Jersey Camisole Top,46245,$4.99,$3.99,http://www.hm.com/us/product/46245?article=46245-D
One-shoulder Top,49881,$12.99,$5.99,http://www.hm.com/us/product/49881?article=49881-A
T-shirt with Motif,60675,$12.99,$9.99,http://www.hm.com/us/product/60675?article=60675-P
Slub Jersey Top,54630,$12.99,$9.99,http://www.hm.com/us/product/54630?article=54630-I
Jersey Camisole Top with Lace,69540,$17.99,$12.99,http://www.hm.com/us/product/69540?article=69540-D
Polo Shirt,48777,$12.99,$9.99,http://www.hm.com/us/product/48777?article=48777-B
Short Lace Top,63545,$29.99,$14.99,http://www.hm.com/us/product/63545?article=63545-B
Airy Jersey Top,63206,$17.99,$12.99,http://www.hm.com/us/product/63206?article=63206-B
Polo Shirt,48777,$12.99,$9.99,http://www.hm.com/us/product/48777?article=48777-A
Glittery Bustier,59539,$24.99,$12.99,http://www.hm.com/us/product/59539?article=59539-B
Pleated Top,58708,$24.99,$12.99,http://www.hm.com/us/product/58708?article=58708-B
Pleated Top,59588,$34.99,$19.99,http://www.hm.com/us/product/59588?article=59588-A
Crushed-velvet Camisole Top,63178,$24.99,$17.99,http://www.hm.com/us/product/63178?article=63178-A
Lace Camisole Top,58828,$24.99,$12.99,http://www.hm.com/us/product/58828?article=58828-A
Mock-turtleneck Top,55410,$17.99,$12.99,http://www.hm.com/us/product/55410?article=55410-C
Ribbed Top,64983,$17.99,$9.99,http://www.hm.com/us/product/64983?article=64983-A
Lyocell Top,65225,$24.99,$19.99,http://www.hm.com/us/product/65225?article=65225-A
Lyocell Top,65437,$29.99,$17.99,http://www.hm.com/us/product/65437?article=65437-A
Short Top,60761,$24.99,$14.99,http://www.hm.com/us/product/60761?article=60761-A
Long-sleeved Jersey Top,59142,$29.99,$14.99,http://www.hm.com/us/product/59142?article=59142-A
Crushed-velvet Camisole Top,69676,$34.99,$24.99,http://www.hm.com/us/product/69676?article=69676-A
Satin Peplum Top,56723,$34.99,$24.99,http://www.hm.com/us/product/56723?article=56723-A
Jersey Top,60133,$12.99,$5,http://www.hm.com/us/product/60133?article=60133-B
