address,controller,operator
"6860 Anderson Rd.
Aurora, OR  97002",S-2 Contractors Inc,Newberg Rock & Dirt
"2360 West 2nd Ave
DENVER, CO  80010",Allied Dirt Moving Company,Allied Dirt Moving Company
"120 Dally Ln
Buffalo, WY  82834",Matt  Mitchell,AM Dirtworks & Aggregate Sales
"GREEN RIVER, UT  84525",Atlas Resources Inc & Dirty Devil Mining Co,Atlas-Dirty Devil Mining
"GREEN RIVER, UT  84525",Atlas Resources Inc & Dirty Devil Mining Co,Atlas-Dirty Devil Mining
"1773 Cedar View Rd
Soda Springs, ID  83276",Steven  Meyers,Babe's Dirt Work
"8002 Dogwood Trail
HAUGHTON, LA  71037",Barlow James & John Lindsey,Bar-Lin Dirt Company
"1590 Terry
VIDOR, TX  77662",Barber Donald,Barber'S Dirt Pit
"Rr 1 Box 32
RUSSELL, KS  67665",Bender Marvin,Bender Sand & Dirt
"115 Georges Pond Road
Franklin, ME  04634",Greg P  Carter,BERT'S DIRT
"WASHINGTON, LA  70589",Leger Dallas,Big D Dirt Service Inc
"2422 Revere
Fayetteville, AR  72701",Frank Bradley  Johnson; William  Sweetser,Big Red Dirt Farm LLC
"GREENWELL SPRINGS, LA  70739",Moore Joseph,Big River Dirt Pit
"16320 S Peoria
BIXBY, OK  74008",Harris Robert E,Bob Harris Dirt Contracting
"5610 Donahue Ferry Rd
PINEVILLE, LA  71360",Bohannon O L,Bohannon Sand & Dirt
"Rte 4 Box 464
TECUMSEH, OK  74873",Bratcher Russell E,Bratcher'S Sand & Dirt
"820 Charlyane
BRINKLEY, AR  72021",Brewer Dirt Works,Brewer Dirt Works
"Rte 1 Box 97
DENHAM SPRING, LA  70726",Oneal C J Jr,Buck'S Dirt Pit
"Rte 2 Box 211
HEIDELBERG, MS  39439",Cook Jimmy R,C & G Dirt Hauling
"229 S. Jensen St.
Dove Creek, CO  81324",Floyd L  Cook,"C N C Dirt Movers, Inc."
"27950 S 4170 Rd
Inola, OK  74036",Paul F  Bemies,Cambridge Dirt Sand and Gravel LLC
"2066 290th St
Kamrar, IA  50132",Josh  Amonson; Brad  Schmidt,Central Iowa Dirt & Demo LLC
"Rte 4 Box 94d
FOLSOM, LA  70437",Crowes Tildon,Crowes Trucking & Dirt Pit Services
"Rte 1
PORTER, OK  74454",Dugan Ed,D & H Dirt
"Rte 3 Box 36
PRAIRIEVILLE, LA  70769",Williams H W,Diez Dirt & Sand Hauling Inc
"GIG HARBOR, WA  98335",Lamphere Dennis,Dirt Cheap
"1789 East 71st St
TULSA, OK  74136",Snapp Duayne,Dirt Company
"OKE, OK  73148",Walls Leon,Dirt Company
"Mile 52 Parks Hwy
Big Lake, AK  99652",Robert B  Fisher,Dirt Company
"897 Lodgeville Rd
Bridgeport, WV  26330",Arthur J  Rockwell,Dirt Con
"Rte 2 Box 72
WHITE PLAINS, KY  42464",Whitaker Jim,Dirt Diggers Inc
"1272 County Road 8
Hillman, MN  56338",William A  Snidarich,Dirt Doctor Inc
"WILMER, AL  36587",Harrison Lamar A,Dirt Inc
"LUMBERTON, TX  77657",Joe  Boldin,Dirt Pit
"711 Ranch Rd 32
Blanco, TX  78606",Wayne B  Dworaczyk,Dirt Works
"1650 Ashley 10
CROSSETT, AR  71635",Mills Melinda,Dirtco Inc
"TEMPLETON, CA  93465",Hendrix Brent,Dirtman Trucking
"15047 Big John Rd
BILOXI, MS  39532",Murray  Moran,"DIRTWORKS, INC."
"3255 S Old Glenn Hwy.
Palmer, AK  99645",Dianne  Johnson; Owen S Johnson,"Dirtworks, Inc."
"SILEY, KY  40769",Mc Kee Mike,Dirty Coal
"1949 Gardner Blvd
HOLLY HILL, SC  29059",Herman  Muckenfuss,Dorchester Dirt Company Inc
"315 Lukin St
MARION, NC  28752",Mc Cormick Douglas,Douglas Dirt Sand & Gravel Company
"4751 Highway 1804
Williston, ND  58801",John W  Ell,Ell Dirt Works LLC.
"114 N 209th West Ave
SAND SPRINGS, OK  74063",Smith Floyd,Floyd Smith Dirt Pit
"5543 Grange Road
Bemidji, MN  55601",Gary L  Kelm; Trudy K  Kelm,Gary Kelm Dirt Service
"459 2900 Road South
Galata, MT  59444",Gerald W  Fenger,Gerald Fenger/Rock & Dirt Const
"Rte 1 Box 501
BAGLEY, MN  56621",Gerald  Illies,Gerald Illies Gravel & Dirt Company
"1607 Ridge Rd
DUSON, LA  70529",Guidry Nolan,Guidry Sand & Dirt Pit Inc
"155 Bagley Rd
SHREVEPORT, LA  71115",Harris Herbert B,Harris Dirt Company Inc
"10319 Prairie Rapids Rd.
Tomahawk, WI  54487",Duane D  Belling Sr,Hatchet Creek Rock & Dirt LLC
"3224 River Rd
Navarre, FL  32566",Gordon  Goodin,"Holley Dirt Company, Inc"
"24617 W Center Rd
Waterloo, NE  68069",David A  Iske,Iske Dirt Sand & Gravel
"485 Helene St
Palermo, ND  58769",John  Lynn,J M Lynn Dirtwork
"E Hwy 60
HEREFORD, TX  79045",Lawson Warner,Jake Diel Dirt & Paving Inc
"E Hwy 60
HEREFORD, TX  79045",Lawson Warner,Jake Diel Dirt & Paving Inc
"E Hwy 60
HEREFORD, TX  79045",Lawson Warner,Jake Diel Dirt & Paving Inc
"E Hwy 60
HEREFORD, TX  79045",Lawson Warner,Jake Diel Dirt & Paving Inc
"E Hwy 60
HEREFORD, TX  79045",Lawson Warner,Jake Diel Dirt & Paving Inc
"E Hwy 60
HEREFORD, TX  79045",Lawson Warner,Jake Diel Dirt & Paving Inc
"E Hwy 60
HEREFORD, TX  79045",Lawson Warner,Jake Diel Dirt & Paving Inc
"E Hwy 60
HEREFORD, TX  79045",Lawson Warner,Jake Diel Dirt & Paving Inc
"470 E. Douglas Dr./ P.O. Box 1147
Fort Davis, TX  79734",Lance  Jarratt; Keith  Jarratt,"Jarratt Dirt Work and Paving, Inc."
"7901 GEE RD
CANASTOTA, NY  13032",James J  Baker; Kim F  Baker,"JBS DIRT, INC."
"ODESSA, TX  79760",Ronnie  Jones; Terry  Bryant,Jones Bros Dirt & Paving Contractors Inc
"13726 410th Ave
GROTON, SD  57445",Roger  Krueger; David  Krueger,Krueger Brothers Gravel & Dirt
"2962 County Rd. 61
Barnum, MN  55707",Clint R  Krueger,"Krueger Dirt Werx, Inc."
"6250 Twin Bridge Rd
ALEXANDRIA, LA  71303",Perkins Linda I,L I P Dirt & Trucking
"BAKER, LA  70714",Richardson Sheila,Lee'S Dirt Pit Inc
"4456 Arnold Lane
BATON ROUGE, LA  70809",Little-G-Dirt Pit,Little-G-Dirt Pit
"11820 University Avenue
Lubbock, TX  79423",Wesley  Sanders; Steve  Turner,Lone Star Dirt & Paving
"366 State Highway 217
TIJERAS, NM  87059",Evertt  Loyd,Loyd'S Dirt & Gravel
"21186 Rt187
Towanda, PA  18848",Scott R  Middendorf; Christopher L  Roof,M R Dirt
"106 Egret Lane
Summerville, SC  29405",Mark M  Mitcham; Elaine C  Murray,M.C. Dirt LLC
"21186  Rt 187
Towanda, PA  18848",Scott R  Middendorf; Christopher L  Roof,M.R. Dirt Inc.
"2579 Allen Rd
MAURICE, LA  70555",Dien Huynh Due,Maurice Dirt & Sand
"5570 Bellview Ave
PENSACOLA, FL  32526",Phillip  McCoy,Mc Dirt Industries Inc
"369 Tans Rd
LAKE CHARLES, LA  70607",Michael  Duhon Sr,Mike Duhon Dirt Pit
"369 Tans Rd
LAKE CHARLES, LA  70607",Michael  Duhon Sr,Mike Duhon Dirt Pit
"369 Tans Rd
LAKE CHARLES, LA  70607",Michael  Duhon Sr,Mike Duhon Dirt Pit
"5845 Jefferson Rd
SHREVEPORT, LA  71119",Moss Ben Jr,Moss Dirt Company
"5845 Jefferson Rd
SHREVEPORT, LA  71119",Moss Ben Jr,Moss Dirt Company
"2454 Covington St
RAPID CITY, SD  57701",Muckler Fill Dirt & Top Soil,Muckler Fill Dirt & Top Soil
"523 Lady Of The Lake Rd
ST MARTINVILLE, LA  70582",Nelson & Sons Dirt Haulers Inc,Nelson & Sons Dirt Haulers Inc
"GRANBURY, TX  76048",Joe  Nelson,Nelson'S Dirt Pit
"116 Beacon Hill Rd
Cody, WY  82414",Jim  Nicholson,Nicholson Dirt Contracting
"85 Isaiah Trail
Belgrade, MT  59714",Steve L  Cavanaugh; Susie L  Cavanaugh,Nitty Gritty Dirt LLC
"Rt 2 Box 181 Caples Rd
WEST MONROE, LA  71291",Northest Louisiana Dirt Contractors,Northest Louisiana Dirt Contractors
