address_city,address_county,address_street,company,date,id,name,status,url
"SALISBURY, MD 21801",Wicomico County,1724 N SALISBURY BLVD UNIT 2,VAPE IT STORE I,4/27/2017,22173807,AMIN NARGIS,Issued,pbLicenseDetail.jsp?owi=Kch8QLy44P8%3D
"SALISBURY, MD 21801",Wicomico County,1015 S SALISBURY BLVD,VAPE IT STORE II,4/27/2017,22173808,AMIN NARGIS,Issued,pbLicenseDetail.jsp?owi=uuOm%2B41TYQE%3D
"GAMBRILLS, MD 21054",Anne Arundel County,2299 JOHNS HOPKINS ROAD,VAPEPAD THE,4/05/2017,02104436,ANJ DISTRIBUTIONS LLC,Issued,pbLicenseDetail.jsp?owi=9ht3HmZUqTo%3D
"CHESTER, MD 21619",Queen Anne's County,110 S. PINEY RD,VAPE FROG,5/31/2017,17165957,COX TRADING COMPANY L L C,Issued,pbLicenseDetail.jsp?owi=7JaLnZGqcN4%3D
"SEVERNA PARK, MD 21146",Anne Arundel County,346 RITCHIE HIGHWAY,VAPE FROG,,,COX TRADING LLC,Pending,
"SALISBURY, MD 21801",Wicomico County,1724 N SALISBURY BLVD UNIT 2,VAPE IT STORE I,4/27/2017,22173807,AMIN NARGIS,Issued,pbLicenseDetail.jsp?owi=Kch8QLy44P8%3D
"SALISBURY, MD 21801",Wicomico County,1015 S SALISBURY BLVD,VAPE IT STORE II,4/27/2017,22173808,AMIN NARGIS,Issued,pbLicenseDetail.jsp?owi=uuOm%2B41TYQE%3D
"GAMBRILLS, MD 21054",Anne Arundel County,2299 JOHNS HOPKINS ROAD,VAPEPAD THE,4/05/2017,02104436,ANJ DISTRIBUTIONS LLC,Issued,pbLicenseDetail.jsp?owi=9ht3HmZUqTo%3D
"CHESTER, MD 21619",Queen Anne's County,110 S. PINEY RD,VAPE FROG,5/31/2017,17165957,COX TRADING COMPANY L L C,Issued,pbLicenseDetail.jsp?owi=7JaLnZGqcN4%3D
"SEVERNA PARK, MD 21146",Anne Arundel County,346 RITCHIE HIGHWAY,VAPE FROG,,,COX TRADING LLC,Pending,
"SALISBURY, MD 21801",Wicomico County,1724 N SALISBURY BLVD UNIT 2,VAPE IT STORE I,4/27/2017,22173807,AMIN NARGIS,Issued,pbLicenseDetail.jsp?owi=Kch8QLy44P8%3D
"SALISBURY, MD 21801",Wicomico County,1015 S SALISBURY BLVD,VAPE IT STORE II,4/27/2017,22173808,AMIN NARGIS,Issued,pbLicenseDetail.jsp?owi=uuOm%2B41TYQE%3D
"GAMBRILLS, MD 21054",Anne Arundel County,2299 JOHNS HOPKINS ROAD,VAPEPAD THE,4/05/2017,02104436,ANJ DISTRIBUTIONS LLC,Issued,pbLicenseDetail.jsp?owi=9ht3HmZUqTo%3D
"CHESTER, MD 21619",Queen Anne's County,110 S. PINEY RD,VAPE FROG,5/31/2017,17165957,COX TRADING COMPANY L L C,Issued,pbLicenseDetail.jsp?owi=7JaLnZGqcN4%3D
"SEVERNA PARK, MD 21146",Anne Arundel County,346 RITCHIE HIGHWAY,VAPE FROG,,,COX TRADING LLC,Pending,
"SALISBURY, MD 21801",Wicomico County,1724 N SALISBURY BLVD UNIT 2,VAPE IT STORE I,4/27/2017,22173807,AMIN NARGIS,Issued,pbLicenseDetail.jsp?owi=Kch8QLy44P8%3D
"SALISBURY, MD 21801",Wicomico County,1015 S SALISBURY BLVD,VAPE IT STORE II,4/27/2017,22173808,AMIN NARGIS,Issued,pbLicenseDetail.jsp?owi=uuOm%2B41TYQE%3D
"GAMBRILLS, MD 21054",Anne Arundel County,2299 JOHNS HOPKINS ROAD,VAPEPAD THE,4/05/2017,02104436,ANJ DISTRIBUTIONS LLC,Issued,pbLicenseDetail.jsp?owi=9ht3HmZUqTo%3D
"CHESTER, MD 21619",Queen Anne's County,110 S. PINEY RD,VAPE FROG,5/31/2017,17165957,COX TRADING COMPANY L L C,Issued,pbLicenseDetail.jsp?owi=7JaLnZGqcN4%3D
"SEVERNA PARK, MD 21146",Anne Arundel County,346 RITCHIE HIGHWAY,VAPE FROG,,,COX TRADING LLC,Pending,
"SALISBURY, MD 21801",Wicomico County,1724 N SALISBURY BLVD UNIT 2,VAPE IT STORE I,4/27/2017,22173807,AMIN NARGIS,Issued,pbLicenseDetail.jsp?owi=Kch8QLy44P8%3D
"SALISBURY, MD 21801",Wicomico County,1015 S SALISBURY BLVD,VAPE IT STORE II,4/27/2017,22173808,AMIN NARGIS,Issued,pbLicenseDetail.jsp?owi=uuOm%2B41TYQE%3D
"GAMBRILLS, MD 21054",Anne Arundel County,2299 JOHNS HOPKINS ROAD,VAPEPAD THE,4/05/2017,02104436,ANJ DISTRIBUTIONS LLC,Issued,pbLicenseDetail.jsp?owi=9ht3HmZUqTo%3D
"CHESTER, MD 21619",Queen Anne's County,110 S. PINEY RD,VAPE FROG,5/31/2017,17165957,COX TRADING COMPANY L L C,Issued,pbLicenseDetail.jsp?owi=7JaLnZGqcN4%3D
"SEVERNA PARK, MD 21146",Anne Arundel County,346 RITCHIE HIGHWAY,VAPE FROG,,,COX TRADING LLC,Pending,
"SALISBURY, MD 21801",Wicomico County,1724 N SALISBURY BLVD UNIT 2,VAPE IT STORE I,4/27/2017,22173807,AMIN NARGIS,Issued,pbLicenseDetail.jsp?owi=Kch8QLy44P8%3D
"SALISBURY, MD 21801",Wicomico County,1015 S SALISBURY BLVD,VAPE IT STORE II,4/27/2017,22173808,AMIN NARGIS,Issued,pbLicenseDetail.jsp?owi=uuOm%2B41TYQE%3D
"GAMBRILLS, MD 21054",Anne Arundel County,2299 JOHNS HOPKINS ROAD,VAPEPAD THE,4/05/2017,02104436,ANJ DISTRIBUTIONS LLC,Issued,pbLicenseDetail.jsp?owi=9ht3HmZUqTo%3D
"CHESTER, MD 21619",Queen Anne's County,110 S. PINEY RD,VAPE FROG,5/31/2017,17165957,COX TRADING COMPANY L L C,Issued,pbLicenseDetail.jsp?owi=7JaLnZGqcN4%3D
"SEVERNA PARK, MD 21146",Anne Arundel County,346 RITCHIE HIGHWAY,VAPE FROG,,,COX TRADING LLC,Pending,
"SALISBURY, MD 21801",Wicomico County,1724 N SALISBURY BLVD UNIT 2,VAPE IT STORE I,4/27/2017,22173807,AMIN NARGIS,Issued,pbLicenseDetail.jsp?owi=Kch8QLy44P8%3D
"SALISBURY, MD 21801",Wicomico County,1015 S SALISBURY BLVD,VAPE IT STORE II,4/27/2017,22173808,AMIN NARGIS,Issued,pbLicenseDetail.jsp?owi=uuOm%2B41TYQE%3D
"GAMBRILLS, MD 21054",Anne Arundel County,2299 JOHNS HOPKINS ROAD,VAPEPAD THE,4/05/2017,02104436,ANJ DISTRIBUTIONS LLC,Issued,pbLicenseDetail.jsp?owi=9ht3HmZUqTo%3D
"CHESTER, MD 21619",Queen Anne's County,110 S. PINEY RD,VAPE FROG,5/31/2017,17165957,COX TRADING COMPANY L L C,Issued,pbLicenseDetail.jsp?owi=7JaLnZGqcN4%3D
"SEVERNA PARK, MD 21146",Anne Arundel County,346 RITCHIE HIGHWAY,VAPE FROG,,,COX TRADING LLC,Pending,
